Country_Name,Country_Code,Indicator_Name,Indicator_Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Period 1990-2000,Period 1990-2010,Period 2000-2010
Afghanistan,AFG,Access to Non-Solid Fuel (% of rural population),2.2_ACCESS.NONSOLIDFUEL.RURAL,,,,,,,,,,,,,,,,,,,,,5,,,
Afghanistan,AFG,Access to Non-Solid Fuel (% of total population),2.1_ACCESS.NONSOLIDFUEL.TOT,5,,,,,,,,,,8.57015,,,,,,,,,,14.86678,,,
Afghanistan,AFG,Access to Non-Solid Fuel (% of urban population),2.3_ACCESS.NONSOLIDFUEL.URBAN,,,,,,,,,,,,,,,,,,,,,66,,,
Afghanistan,AFG,Access to electricity (% of rural population),1.2_ACCESS.ELECTRICITY.RURAL,20.36011,,,,,,,,,,24.28065,,,,,,,,,,29,,,
Afghanistan,AFG,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,34.61567,,,,,,,,,,37.45584,,,,,,,,,,41,,,
Afghanistan,AFG,Access to electricity (% of urban population),1.3_ACCESS.ELECTRICITY.URBAN,78,,,,,,,,,,80,,,,,,,,,,80.63733379,,,
Afghanistan,AFG,Biogas consumption (% in TFEC),2.1.9_SHARE.BIOGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Biogas consumption (TJ),3.1.9_BIOGAS.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Divisia Decomposition Analysis - Activity component  -Compound Annual Growth Rate (%),16.5_DECOMP.ACTIVITY.RATE,,,,,,,,,,,,,,,,,,,,,,,,11.1478831
Afghanistan,AFG,Divisia Decomposition Analysis - Activity component Index,16.2_DECOMP.ACTIVITY.INDEX,,,,,,,,,,,,,1,1.14262728,1.24409542,1.414637149,1.572836967,1.740339943,1.797139569,2.15352808,2.329214929,,,
Afghanistan,AFG,Divisia Decomposition Analysis - Energy Intensity component -Compound Annual Growth Rate (%),16.4_DECOMP.EFFICIENCY.RATE,,,,,,,,,,,,,,,,,,,,,,,,8.925006896
Afghanistan,AFG,Divisia Decomposition Analysis - Energy Intensity component Index,16.1_DECOMP.EFFICIENCY.IND,,,,,,,,,,,,,1,1.112093905,1.079986806,1.134665876,1.192559067,1.212405534,1.850940637,1.978699476,1.981621789,,,
Afghanistan,AFG,Divisia Decomposition Analysis - Structure Component -Compound Annual Growth Rate (%),16.6_DECOMP.STRUCTURE.RATE,,,,,,,,,,,,,,,,,,,,,,,,2.423271705
Afghanistan,AFG,Divisia Decomposition Analysis - Structure Component Index,16.3_DECOMP.STRUCTURE.INDEX,,,,,,,,,,,,,1,0.99552122,1.056129064,1.066628936,1.120983413,1.06529361,1.185136831,1.233931763,1.211125519,,,
